food,pricerange,area,name,utts
scottish,,west,,"Hello, I am looking for a Scottish restaurant on the west side of town."
christmas,,,,I'm looking for something serving christmas food.
british,expensive,,,"Hi, I'm looking for an expensive restaurant that serves British cuisine."
vegetarian,,,,I need a vegetarian restaurant
,moderate,centre,,I am looking for a restaurant in the moderate price range in the centre of town.
,cheap,centre,,I'm looking for a restaurant in the centre of Cambridge which is pretty cheap in terms of prices.
,,,anatolia,I am looking for a place for a restaurant called anatolia. Can you help me?
,cheap,north,,I would like a cheap restaurant in the north part of town
,,,,"I have the name of a restaurant that I need some help finding, whenever you're ready."
,expensive,west,,"I'm looking for an upscale, expensive place to eat on the west side of town."
,expensive,centre,,"I'm looking for a place to dine in the town centre, with an expensive price range."
indian,expensive,,,I'd really like to take my client out to a nice restaurant that serves indian food.
,expensive,south,,I would like to find an expensive restaurant in the south part of town.
,,centre,,Can you help me find somewhere to eat in the centre?
,cheap,east,,I am looking for a cheap restaurant in the east part of town.
,,,darrys cookhouse and wine shop,"Yes, I'd like some help looking for a particular restaurant. The name of the restaurant is Darrys Cookhouse and Wine Shop. I'd like to know where it's located and how expensive."
,,centre,,I am looking to find a place to eat in Centre please.
,moderate,centre,,Can you find me a restaurant that is located in the centre and is in the moderate price range?
,expensive,centre,,I was wondering if you can help me find an expensive restaurant in the centre?
indian,expensive,,,I'm looking for an expensive Indian restaurant. Can you help me with that?
portuguese,,south,,I am looking for a restaurant in the south part of town that serves Portuguese food.
,moderate,,,is there a moderate priced restaurant?
,expensive,centre,,"Hello, I am looking for an expensive restaurant, located in the centre."
,,east,,Where'a a restaurant on the east part f town?
,,centre,,I am looking for a restaurant in the centre of town.
malaysian,,east,,I am looking for a Malaysian restaurant in the east part of town.
,,,restaurant one seven,I'm interested in a place called restaurant one seven. What can you tell me about it?
turkish,,centre,,Are there any Turkish restaurant in the Centre location?
,,,panahar,I'm looking for a restaurant named Panahar.
indian,expensive,,,I'm looking for an expensive restaurant that serves Indian food please.
,moderate,centre,,I need a place to eat? How about some place in the centre of the town and in moderate price range?
,expensive,,,I need to find an expensive place to eat.
fusion,moderate,,,Can you direct me towards a moderately priced restaurant serving fusion food?
,expensive,south,,I want your most expensive restaurant in the south town.
spanish,cheap,,,I am looking for an affordable spanish restaurant.
,,centre,,"I need some help finding a place in Centre to eat, can you look it up for me?"
,,north,,Is there a good restaurant on the north end of town?
,expensive,,,"Hi, I need an expensive restaurant please."
swedish,,,,Hello there! I am looking for a restaurant that specializes in Swedish food.
modern european,moderate,,,I'm looking for a modern european restaurant that had a moderate price range.
european,,,,Can you help me find some european food in Cambridge?
,cheap,south,,I'm looking for something cheap in the south part of town.
korean,,,,Hello. Can you please help me find a nice restaurant that serves Korean food? I need to know the address too.
the americas,cheap,,,"Hi there, I'm hungry. Please help me find a cheap place that serves the americas food"
,,,mahal of cambridge,I'm looking for information on a restaurant called mahal of cambridge.
german,,centre,,I haven't had German food in ages so please find me a place in the centre that serves it
,expensive,,,Can you help me find an expensive restaurant please?
indian,expensive,,,I need a restaurant that is in the expensive price range and that serves Indian food.
scandinavian,,west,,"Hello there, please find me a restaurant on the West side that serves scandinavian food"
dontcare,expensive,,,I'm looking for a very nice place to dine. Something expensive.
brazilian,,north,,I am looking for a restaurant in the north part of town that serves brazilian food.
,moderate,,,What's a good mid price restaurant?
,expensive,,,looking for a restaurant in the expensive price range
,,,fitzbillies restaurant,Can I have the contact information for the Fitzbillies Restaurant.
asian,,centre,,Are there any Asian restaurants in the centre of town?
korean,,,,Hello. Can you please recommend a Korean restaurant for me?
italian,moderate,,,Could you help me find a restaurant? I am looking for a place that serves quality Italian food an affordable price. I would greatly appreciate any help you can provide.
mediterranean,,north,,"Im up north, whats the address for a mediterranean place around here?"
mexican,,,,"Hi, could you tell me the phone number and address of the nearest Mexican restaurant?"
,moderate,west,,Hello I would like to find a restaurant in the west part of the city that costs a moderate amount.
,expensive,south,,I'd like to find an expensive place to dine in the south.
irish,expensive,,,"I want to go all out this St Patricks day, can you find me an Irish restaurant? Lets go with an expensive one."
japanese,,centre,,I'm looking for a place to dine. The restaurant should serve japanese food and should be in the centre.
,moderate,,,I want a moderately priced restaurant.
vietnamese,expensive,,,"I'm looking for an expensive vietnamese place to eat, can you help me find one?"
,expensive,centre,,I am looking for a restaurant. The restaurant should be in the expensive price range and should be in the centre.
british,,centre,,I'd like to find a restaurant serving British food that's in the centre.
venetian,expensive,,,Can you find an expensive restaurant that serves venetian food?
jamaican,,south,,I would like a restaurant in the south part of town that serves jamaican food
international,,south,,"Hello, I am looking for a restaurant on the south side of town that serves international food."
chinese,expensive,,,"Hi, I want to find a Chinese place to eat that's expensive."
bbq,,,,Is there any place that serves BBQ around here?
,expensive,east,,I am looking for an expensive restaurant in the east part of town. I would like the name and phone number.
irish,expensive,,,I am looking for a restaurant that serves Irish food and is in the expensive price range.
indian,cheap,,,I'm looking for a place to dine that's in the cheap price range and that serves Indian food.
,,north,,Is there a restaurant on the North side of town?
moroccan,,north,,I want something in the north that serves moroccan food .
,moderate,centre,,I want to find a moderately-priced restaurant in the centre.
,,,,I would like to find an Italian restaurant open for dinner?
indian,,centre,,Hi I'm looking for a place to eat in the centre of town serving Indian food.
swedish,,centre,,I am looking for a restaurant that serves swedish food in the centre.
,,,,"Hi, I am traveling to Cambridge and am looking forward to trying some local restaurants. Can you help me with a great place to dine?"
tuscan,dontcare,,,"Hi, I'm looking for a place with Tuscan food in any price range."
,,,tang chinese,I am looking for a place called tang chinese
italian,cheap,,,I want to find a cheap restaurant serving italian food. What is the address and phone number?
,expensive,centre,,Are there any expensive places to eat in the centre?
,expensive,east,,I want an expensive restaurant in the east part of town. I would also like its phone number.
chinese,cheap,,,"I feel like trying Chinese today, find me a cheap place that serves it please"
british,moderate,,,"I'm looking for a restaurant that offers British food in a moderate price range, can you help me with that?"
spanish,,centre,,"I need help finding a place that serves spanish food and is located in the centre, can you help me?"
british,moderate,,,I am looking for a restaurant that serves british food in cambridge in the moderate price range
chines,,centre,,Can you assist me to find Restaurants in the Center of Cambridge that serves Chines foods?
traditional,moderate,,,"Hello, I am looking for a moderately priced restaurant that serves traditional food."
,expensive,south,,"Hi, I am looking for an expensive restaurant to dine at in the south."
,,north,,I'm looking for places to eat in the North part of town.
,cheap,centre,,"Hi there, I'd like to find a good place to eat in the city centre tonight, but I'm looking for somewhere cheap. Have you any good recommendations?"
,moderate,south,,I would like a moderately priced restaurant in the south part of town
,cheap,north,,I am looking for a cheap restaurant in the North part of town. I will need their address.
global,,south,,"im looking for a place to dine, it should be in the south serving morden global food"
,,,,"Hello, I'd like some information on a restaurant today."
,moderate,north,,"I need the phone number to a restaurant located in the north part of town that is moderately priced, thank you"
,expensive,,,I need an expensive restaurant
thai,,west,,I'm looking for a thai restaurant on the west side.
basque,,west,,I would really like to find a Basque restaurant on the west side. Does that exist?
chinese,expensive,,,"I need you to help me find an expensive restaurant to dine in, I'd like it to be chinese food."
,,,,Could you help me find a place to dine on my trip?
australasian,cheap,,,I want to find a cheap restaurant and serves australasian food.
korean,,,,I'd like to find a restaurant that serves Korean food.
italian,expensive,,,I'd like to find an expensive place to dine that specifically serves italian food.
british,,,,I am hoping you can help me find a British restaurant at which to dine during my visit to Cambridge.
,cheap,south,,I would like a cheap restaurant in the south part of town.
irish,cheap,,,I am looking for Irish food that is cheap. I will need their phone number too.
canapes,,north,,I would like a restaurant in the north part of town that serves canapes food.
chinese,moderate,,,I would like a a decent chinese restaurant
,cheap,,,I am looking for a cheap restaurant
portuguese,,east,,Will you help me find a portuguese restaurant in the east please?
jamaican,,,,I am trying to find a Jamaican restaurant
,,,,I am looking for a restaurant please.
international,,,,"Hello, I am looking for a restaurant that serves international food."
,,,,I was hoping that you could find a restaurant for me.
hungarian,cheap,,,I want to find a cheap Hungarian restaurant.
swedish,,north,,I want something in the north part of town with swedish food.
thai,expensive,,,I am looking for an expensive restaurant that serves Thai food.
crossover,,west,,Are there any crossover restaurants in the west?
persian,,,,I am looking for a restaurant serving persian food.
italian,cheap,,,"I am looking for an italian restaurant, cheap preferably."
,expensive,,,"Hi, I need a really expensive restaurant."
,,west,,I'm looking for somewhere to eat in the west. Can you help me out?
italian,cheap,,,Hi I am looking for a cheap place to dine serving Italian food
traditional,,centre,,I need a place to eat that serves traditional food in the centre.
,,centre,,I need a restaurant in the centre of town.
,moderate,south,,I would like a moderately priced restaurant in the south part of town
cantonese,,,,Can I get a cantonese restaurant?
,expensive,centre,,Could you recommend an expensive restaurant in the city centre?
,expensive,south,,I'm looking for an expensive restaurant in the south.
british,,,,I am looking for a british restaurant please.
british,,centre,,Can you help me find a place to eat located in the centre that serves british food?
,,,,"Yes, I am looking for a place to eat. Can you help me?"
modern global,,centre,,Hello! I'm looking for a restaurant that serves modern global food in the centre.
,,centre,,I am looking for a nice restaurant in the center of town.
french,,,,"Could you recommend a restaurant that serves french food? I'll need the address, phone number and postcode. Thank you."
,,,,"Hello, I'd like some information on a restaurant today."
,,,kymmoy,I am looking for the restaurant kymmoy.
chinese,moderate,,,I'm looking for a moderately priced restaurant that serves chinese food.
,,,rice house,I am looking for some info on rice house restaurant.
,,east,,What restaurants are on the east part of town?
,,,royal standard,"Hello, I am looking for a restaurant by the name of Royal Standard. Do you know where it is?"
swiss,,,,I'm looking for a restaurant that serves swiss food.
,,,yu garden,"Hi, I am looking for a restaurant called Yu garden."
chinese,,,,Can you help me find a Chinese restaurant please?
,,,city stop restaurant,I am looking for information about city stop restaurant?
mediterranean,expensive,,,I want to find an expensive restaurant serving mediterranean food. What is the address and phone number?
,,,,I need to find some information in a particular restaurant. Are you able to look up a specific place?
polish,expensive,,,Are there any good polish restaurants in the city?
,,,,Hi is there any deals for tourists that will be a great price? so i can book them all at the same time?
,cheap,,,I need a place to eat in the cheap price range.
modern american,moderate,,,I am looking for a restaurant serving modern american food in the moderate price range.
,,,thanh binh,I'm looking for a restaurant called Thanh Binh.
indonesian,,north,,"I am interested in a restaurant located in the north part of town that specializes in Indonesian food, please."
vegetarian,moderate,,,I need to find a moderately priced vegetarian restaurant.
venetian,expensive,,,I'd like to find an expensive restaurant that serves venetian food.
,,west,,I would like a restaurant in the west part of town.
,,,rice boat,I am looking for the price range of a restaurant called Rice boat.
scandinavian,,dontcare,,I'm looking for Scandinavian food in any area.
european,,,,I need to find a place that serves European food to eat at.
,,,,Can you help me find a place to eat?
,,,,I am looking for a place to dine in Cambridge.
thai,expensive,,,I am looking for a restaurant that serves Thai food and is in the expensive price range.
italian,,south,,I would like a restaurant in the south part of town that serves italian food
,moderate,west,,I need a restaurant of moderate price in the west.
mexican,cheap,,,"I would like a cheap Mexican restaurant, please."
spanish,moderate,,,"I'm looking for mid range spanish restaurants, can you help me?"
european,expensive,,,I'm looking for a place to dine that serves expensive european food.
,expensive,centre,,Yes I am looking for an expensive place to eat that is located in the city center.
italian,,,,I am looking for some Italian food today.
,expensive,centre,,"I'm looking for an expensive restaurant for tonight in the centre of town, can you provide me with a list of my options?"
dontcare,moderate,south,,I am looking for a moderately priced restaurant in the south part of town. Any kind of food is good with me; I would just like to know the phone number of the venue you find.
vietnamese,,,,I'd like recommendations for a restaurant that serves Vietnamese food.
spanish,cheap,,,I would like a cheap Spanish restaurant.
,,,pizza express fen ditton,Can you give me the price for a large pizza and what type of pizzas they offer at Pizza Express fen ditton please
indian,expensive,,,I'm craving Indian food and money isn't an issue so find me an expensive restaurant that serves it please
australasian,,centre,,I want to find a restaurant in the centre part of town and serves australasian food.
indian,moderate,,,I need a restaurant that serves Indian food in the moderate price range
,,,,I am starving!
,expensive,south,,"I am looking for an expensive place to eat in the South,"
afternoon tea,expensive,,,I am looking for a place to eat at that is expensive and serves food with afternoon tea.
mexican,,south,,I am looking for a restaurant that serves Mexican food and located in the south part of town.
european,,centre,,I'm looking for a restaurant in the center of town that serves european food.
australasian,expensive,,,I am looking for a restaurant in the expensive price range that serves Australasian food.
turkish,,centre,,I would like to find a restaurant that serves Turkish food in the centre please.
hungarian,moderate,,,I need a moderately priced restaurant that serves hungarian food.
,,,,I'm looking for a place to dine.
,,,saint johns chop house,"Hi, could you give me the location of the Saint Johns Chop House?"
polynesian,moderate,,,I'd like to get moderately-priced Polynesian food.
german,expensive,,,I am looking for a German restaurant in the expensive price range.
british,expensive,,,I'd like to dine for expensive british cuisine.
barbeque,,south,,I would like to dine at a restaurant in the south that serves barbeque. Can you help?
british,,,,"I have a taste for British food tonight, can you find me a place to eat?"
vietnamese,,west,,Are there any vietnamese themed restaurants in the west side of town?
,cheap,north,,I am looking for a cheap restaurant in the north part of town.
indian,expensive,,,I'm looking for an expensive indian restaurant.
,cheap,,,Hi! Can I get some info on a cheap place to eat?
,cheap,north,,Is there a cheap place in the north part of town?
,,,mahal of cambridge,I'm looking for a restaurant called Mahal of Cambridge.
swiss,,,,I'd like to find a restaurant that serves swiss food.
,,,saigon city,I want to find a place to eat called saigon city.
italian,expensive,,,I am interested in finding an expensive restaurant serving Italian food.
,,west,,I am looking for a restaurant in the west part of town.
chinese,,south,,I'd like to find a restaurant that serves Chinese food in the south please.
,,,cafe uno,I am looking for information on a restaurant called cafe uno
,moderate,centre,,Can you find me a restaurant in the centre with moderate prices?
,cheap,centre,,"I'm looking for a restaurant in the center, but on the cheaper price range, can you help me?"
,,dontcare,,Hello. Can you help me find a specific restaurant that I'm looking for?
vegetarian,expensive,,,I would like an expensive restaurant that serves vegetarian food
canapes,,east,,I need an east restaurant. I want to try some Canapes food.
british,moderate,,,I am looking for a British restaurant that is moderately priced.
halal,,,,"Hello, I am looking for a restaurant that serves halal food."
traditional,,,,I would like a traditional food restaurant.
japanese,dontcare,,,"I am looking for a resteraunt that serves japanese food, any price range is fine. What do you have available?"
portuguese,,,,I need finding a Portuguese restaurant
,expensive,centre,,"I would like an expensive place to dine, centre of town."
indian,expensive,,,I am looking for a place to dine that serves Indian food. I would like a place in the expensive price range.
,,,yippee noodle bar,I am looking for yippee noodle bar.
,,south,,Is there any restaurants on the south part of town?
,,,the gandhi,I am looking for a restaurant called the Gandhi.
crossover,expensive,,,I want crossover food at an expensive price. Can you help?
,cheap,north,,I want to find a cheap restaurant in the north part of town. What is the address and phone number?
,cheap,,,"Hi, I'm looking for a cheap restaurant, please."
asian oriental,,centre,,"Hello, can you tell me about some Asian Oriental restaurants in the centre?"
,,,,Can you help me find a specific restaurant that I'm looking for?
european,expensive,,,i am looking for a place to dine. The restaurant should be in the expensive price range and should serve european food.
eritrean,cheap,,,"Hello, I am looking for a cheap restaurant that serves Eritrean food."
christmas,,,,I'd like to find a restaurant serving Christmas food.
tuscan,expensive,,,"Hi, I want a Tuscan restaurant that's expensively priced."
,expensive,centre,,Can you help me find an expensive restaurant in the center of town?
swedish,dontcare,dontcare,dontcare,i am looking for a place to dine. the restaurant should be in the cheap price range and should serve swedish food.
african,,centre,,I'm trying to find a restaurant that serves African food in the centre
,,,,Hi. Can you help me find a restaurant?
,,centre,,I am looking for a restaurant in the centre of town
,moderate,,,I'd like something moderately priced please.
gastropub,expensive,,,I'm looking for a place to dine that serves gastropub food. I want it to be expensive.
,,,hk fusion,Please tell me where the restaurant HK Fusion is located. Thanks.
modern european,moderate,,,I'm interested in finding a modern European restaurant for dinner with a moderate price range on their menu.
indian,,centre,,I'm looking for an Indian restaurant in the centre.
italian,,north,,Find me an italian place in the north
international,,,,Are there any restaurants that serve international food?
romanian,expensive,,,I am looking for a place to dine that has expensive romanian food.
kosher,,centre,,"I'm looking for a dining establishment that serves kosher, in the center of town."
,expensive,centre,,I am looking for an expensive restaurant in the city center
chinese,,,,Can you tell me the address to a Chinese restaurant in Cambridge?
,,,,I could really use something to eat.
english,expensive,,,"Hi, I'm looking for an expensive restaurant serving English food."
,cheap,west,,I want to find a cheap restaurant in the west part of town. What is the address and food?
seafood,,centre,,I'm looking for a seafood restaurant in the centre.
,,,curry prince,I hope so. My brother recommended an eatery called Curry Prince. Can you help me find it?
panasian,,centre,,I'd like to find a panasian restaurant in the centre of town please.
european,cheap,,,Hello are there any cheap European restaurants in town?
gastropub,expensive,,,"I'd like to find an expensive gastropub, should you have such a beast."
venetian,,,,"Hi, I am looking for a Venetian restaurant please."
,,,copper kettle,"Hi, do you have a listing for the copper kettle? It's a restaurant."
french,,,,What is the best french expensive restaurant in town?
portuguese,,centre,,"I need help finding a portuguese restaurant located in the centre, can you assist me please?"
,moderate,west,,"I'd like to find a place to eat on the west side. Something moderately priced, please."
,cheap,north,,I want to find a cheap restaurant in the north part of town.
french,,dontcare,,I'm looking for a good restaurant anywhere in town serving French food. Could you please give me their phone numbers?
mexican,,west,,I would like a mexican restaurant in west.
,,,,Hi. Can you help me find a restaurant?
french,dontcare,,,"Hello, I need some French food. Any price range is fine."
,,,loch fyne,Can you help me find a restaurant by the name of Loch Fyne?
chinese,expensive,,,I'd like an expensive restuarant with Chinese food.
cantonese,cheap,,,Are there any cheap cantonese restaurants in town?
indian,,west,,I'm looking for a restaurant in the west that serves Indian food.
european,cheap,,,"Hello, I'm looking for a restaurant that serves mondern european foods for modest prices."
italian,,east,,I'm looking for an Italian restaurant in the east.
,,,,I'm hoping to find a place to eat.
british,expensive,,,Are you able to help me find an expensive British restaurant in Cambridge please?
,expensive,centre,,Are there any expensive restaurants in the city centre you could recommend?
,cheap,north,,Please recommend me a cheap restaurant in the north .
,cheap,north,,I'm looking for a cheap restaurant in the north part of town.
latin american,,,,Please find a restaurant that serves Latin American food.
british,moderate,,,I want British food that is moderately priced.
north american,moderate,,,Can you help me find a moderately priced restaurant that serves North American food? Thanks.
,expensive,centre,,Where in the centre can I dine? I want something expensive.
,,centre,,I'm looking for somewhere to eat in the centre.
australasian,,,,I want to find a place that serves australasian food.
asian oriental,moderate,,,I'd love to find an Asian Oriental restaurant. Something moderately priced.
african,expensive,,,I'd like to find an expensive restaurant where I can eat african food.
french,,,,I'm hoping to find a french restaurant in Cambridge.
italian,expensive,,,I would like to find an Italian restaurant that's expensively priced.
international,,east,,"Yes, I'm looking for a restaurant in the east part of town serving international food."
,,centre,,is there a restaurant in the Centre?
indian,,,,Please find a place that serves Indian food.
,expensive,,,"Yes hi, I'm looking for an expensive place to dine."
,cheap,,,I am looking for a cheap place to dine.
,,centre,,"Hi, I want a place to eat in the town centre."
north american,,centre,,I am looking to dine out in the centre part of town and I would like to find a place that serves north american food.
venetian,,east,,Where in the east can I find a restaurant that serves venetian food?
,,,curry queen,I'm wondering if you have information about a particular restaurant called the curry queen?
,,,frankie and bennys,Please help me find a restaurant called Frankie and Bennys. Thanks.
thai,expensive,,,Please help me find an expensive thai restaurant.
,moderate,centre,,I am looking for a place to dine located in the centre and in the moderate price range. Can you help me?
italian,expensive,,,I'm looking for an expensive restaurant that serves italian food.
greek,,centre,,Can you find me a Greek restaurant in the centre of Cambridge?
,,centre,,I want a restaurant in the centre of town.
turkish,dontcare,,,"i'm looking for good turkish food, and price is no object."
european,expensive,,,Good afternoon! I'd like to visit an expensive european restaurant. Will you help me find one?
caribbean,moderate,,,I am looking for a restaurant that serves Caribbean food and in the moderate price range.
portuguese,,south,,So I'm interested in portuguese food. Do you know of any restaurants that serve it in the South?
indian,,centre,,I need a place to dine on Indian food. Centre of the town please.
,cheap,south,,Can you find me something cheap in the south part of town?
modern european,,centre,,I am looking for a restaurant in the centre serving modern European food.
,,,,"Hi, I am hoping you can give me some information on places to dine."
corsica,,west,,I am looking for a restaurant in the west part of town serving corsica food.
,expensive,centre,,"Yes, thank you. I want to find an expensive restaurant in the centre part of town."
,moderate,centre,,"I'm looking for a place to dine in the moderate price range in the centre, please."
turkish,,west,,I am looking for a restaurant in Cambridge that serves Turkish food and is located in the west.
moroccan,,centre,,I'm looking for a restaurant that serves moroccan food in the centre.
,,centre,,I am looking for a restaurant in the centre area.
,moderate,,,"a restaurant in the moderately priced range, please"
indian,expensive,,,I'm looking for a restaurant in the expensive price range that serves indian food.
indian,expensive,,,"Hello, I'm looking for an Expensive Indian restaurant. What can you recommend?"
afternoon tea,,,,Good eve! I'm looking for a nice place to have a spot of afternoon tea.
,,,the missing sock,Hello. I've been recommended a restaurant called The Missing Sock. Can you direct me to where it is located?
british,,centre,,I'm looking for British food. I want the restaurant to be in the town centre.
international,expensive,,,Find me expensive restaurant that serves international food.
,cheap,south,,I would like a cheap restaurant in the south part of town
vietnamese,,centre,,I am searching for a restaurant serving vietnamese food in the centre of town.
turkish,,west,,Are there any restaurants on the West that serve turkish food? I want some.
eritrean,,centre,,Im looking for a place to eat eritrean food at the centre.
chinese,,south,,I'm looking for a Chinese restaurant on the south side of town.
african,,centre,,African food in the cetre of town /
european,,centre,,How are you doing? Are there any European restaurants in the city center?
thai,,,,Can you help me find some Thai food to eat tonight?
,expensive,south,,"Yes, I need help finding a restaurant. Preferably a nice, expensive one in the south."
,expensive,centre,,"I need help finding an expensive restaurant in the centre, can you help me please?"
,,dontcare,,I would like to find a restaurant
european,expensive,,,"Yes, I'm looking for an expensive restaurant serving European Food."
,,,kohinoor,Can you tell me if there is a restaurant named Kohinoor in Cambridge?
,moderate,north,,Could I get the name of a moderately priced restaurant on the north side of town?
french,,north,,I would like a restaurant in the north part of town that serves french food
,,,,I need a restaurant to dine at in Cambridge on my upcoming trip.
,moderate,north,,I would like a moderately priced restaurant in the north part of town
australasian,expensive,,,"Hello, I am looking for some good Australasian food. I would like an expensive restaurant also."
,,,city stop restaurant,I'm looking for a particular restaurant. Its name is called city stop restaurant.
,expensive,centre,,I need to book a nice expensive restaurant in the centre please.
cuban,moderate,,,I'm looking for a moderately priced restaurant serving cuban food.
,,,chiquito restaurant bar,I am looking for the chiquito restaurant bar can you help me find it?
japanese,,,,I'm looking for a japanese restaurant in town.
chinese,expensive,,,"I'm looking for a Chinese restaurant. It should be in the expensive price range, please."
chinese,expensive,,,"Hi, I'm looking for a local upscale chinese restaurant."
modern european,moderate,,,I am looking for a modern European restaurant in the moderate range.
indian,,south,,Can you give me the address for an indian restaurant in the south part of town?
,expensive,,,an expensive restaurant please
italian,moderate,,,I am looking for a restaurant. The restaurant should serve italian food and should be in the moderate price range
,,,,I am traveling to Cambridge and looking forward to try local restaurants.
,,,cafe uno,"I'm looking for cafe uno, can you help me find where it is?"
turkish,,centre,,Hi! I am looking for a turkish food restaurant around the centre.
,,,prezzo,I am looking for a particular restaurant. Its name is called prezzo
,cheap,centre,,I'm looking for a cheap restaurant in the centre.
,,,travellers rest,I'm looking to find out some information about a restaurant called Travellers Rest.
,expensive,,,Are there any expensive British restaurants in town?
,,,nirala,Hi! My friends told me about a restaurant called the nirala. What can you tell me about it?
swedish,expensive,,,"I'm looking for a Swedish restaurant, preferably in the expensive price range."
,cheap,north,,I am looking for a cheap restaurant in the north part of town.
north american,,,,"Hello, I'm looking for a restaurant that serves North American food."
persian,,dontcare,,I want to find a restaurant in any area and servings persian food.
french,,west,,I want a french restaurant on the west side please.
japanese,,centre,,I want a restaurant in the centre and serves japanese food. What is the address?
,,,,i am looking for information in Cambridge. A a place to dine.
,cheap,,,I need help finding a cheap restaurant
,,,curry king,I'm looking for info about the curry king restaurant.
modern european,,centre,,I'm looking for a modern european restaurant in the centre.
fusion,,,,"Hello, I am looking for a restaurant that serves fusion food."
,expensive,north,,I am going to be on the north side of town and would like a recommendation to a high end restaurant for dinner.
,,centre,,Please find me a restaurant in the centre part of town.
,,,nirala,I need to find a restaurant call the nirala.
asian,expensive,,,I'm looking for a high end Asian restaurant
italian,,west,,I am looking for a restaurant in the west that serves italian food.
japanese,,centre,,I am looking for a Japanese restaurant in the centre of town.
,,centre,,I'm so hungry - can you find me a place to eat in the city centre?
scottish,,,,I am looking for a restaurant serving scottish food.
,,centre,,I need to find a place to eat in the centre of town.
chinese,moderate,,,I'd like to find a moderately priced chinese restaurant.
,,,jinling noodle bar,"I want to try a local restaurant called Jinling noodle bar, can you help?"
,,,dojo noodle bar,"Hello, I'm looking for some information about a particular restaurant. The name of it is Dojo Noodle Bar."
indian,expensive,,,I need a restaurant. The restaurant should serve indian food and should be in the expensive price range.
lebanese,,west,,I would like some Lebanese food in the west part of town. Are there any available?
,,,da vinci pizzeria,I'm looking for da vinci pizzeria.
,expensive,east,,"I would like an expensive restaurant in the east part of town, please."
,,,,"I'm looking for a place to dine in Cambridge, if you could help me with some options."
afghan,expensive,,,I would like an expensive restaurant that serves afghan food
danish,moderate,,,I would like to find a danish restaurant this is moderately priced.
,,,darrys cookhouse and wine shop,"Hi, can you look up Darrys Cookhouse and Wine Shop for me?"
,,,little seoul,Can you help me find a restaurant called little seoul?
,,,the hotpot,"Hi, I am looking for a restaurant called the hotspot."
,cheap,west,,I need to find a restaurant in the west part of town. It should be in the cheap price range.
,moderate,north,,Can you give me the phone number of a moderately priced restaurant in the North part of town?
,cheap,north,,"I need help finding a very inexpensive place to eat located in the north, can you help me?"
indian,moderate,,,I'm looking for an indian restaurant that is priced moderately.
italian,cheap,,,Can you help me find a cheapt italian restaurant?
,,,,I'd like some help picking out a restaurant.
,cheap,east,,I would like to find a cheap restaurant in the east part of town.
north american,,centre,,"Yes, I'm looking for a restaurant that serves American food and is in the center of town."
,expensive,centre,,I am looking for an expensive restaurant in the centre.
,expensive,east,,Hello I am looking for an expensive restaurant on the east side of town. Any suggestions?
indian,cheap,,,Hi. I am hoping you can help me find a cheap Indian restaurant.
panasian,cheap,,,I'd like to find panasian food for cheap please.
singaporean,expensive,,,"Hello, can you help me find a pricey Singaporean restaurant in Cambridge?"
italian,,,,I would like recommendations for italian restaurants.
european,expensive,,,I would like to eat at an expensive european food restaurant
,,,saint johns chop house,"I am looking for a restaurant called Saint Johns Chop House, can you help me find it?"
danish,,dontcare,,"Hello, I am looking for a restaurant in any area that serves danish food."
steakhouse,,,,"Hi, I'm looking for a steakhouse, please."
asian oriental,expensive,,,I am looking for a restaurant to book a reservation. I want asian oriental in the expensive price range
,,,panahar,Can you find a restaurant called Panahar?
european,moderate,,,I want to find a moderately priced restaurant serving european food.
,moderate,west,,I am looking for a moderately priced restaurant in the west part of town.
,,,fitzbillies restaurant,I am looking for fitzbillies in Cambridge.
international,,,,I am looking for a restaurant that serves international food!
indian,,east,,Hi! Do you have any Indian food on the east side?
moroccan,,,,"Hello, I am looking for a restaurant that serves Moroccan food."
british,,,,I want to eat fine british food.
,,,,"Hi, I am looking forward to trying some local restaurants when I visit Cambridge next month. Are there any good ones?"
italian,cheap,,,Can you help me find some cheap Italian food?
,,centre,,I looking for a restaurant in centre.
basque,,east,,Looking for a restaurant in the east side that serves basque food.
,moderate,centre,,I am looking for a moderate restaurant in the centre. Could you help me with this?
mexican,,,,i want some mexican food.
,,,michaelhouse cafe,I'm looking for a particular restaurant called michaelhouse cafe.
,cheap,north,,I need to find a cheap restaurant on the North side
polish,cheap,,,I am looking for a cheap restaurant that serves Polish food.
seafood,,,,I need a place to eat that serves sea food.
catalan,expensive,,,Hi. Could you help me find an expensive restaurant that serves Catalan food?
,,west,,I'd like to dine at a restaurant in the west part of town. Can you help me find one?
,moderate,west,,I need a find restaurant in the moderate price range in the west part of the town
british,,centre,,Can you help me find a british restaurant in the centre?
,,north,,I want a restaurant in the north part of town.
,cheap,centre,,"Hi, I'm looking for cheap places to eat in the city centre?"
,,west,,"Hi, I am interested in finding a place to dine on the west side of town."
,expensive,west,,I am looking to book an expensive restaurant in the west part of town. What is available?
romanian,,,,I'm looking for some romanian food around here.
,expensive,south,,I am looking for an expensive restaurant in the south part of town.
,,,the gandhi,"My friends told me to look into a restaurant called The Gandhi, could you please give me some information on it?"
,moderate,north,,I want to find a moderately priced restaurant in the north part of town. What is the phone number?
chinese,expensive,,,"Hello, I'm looking for a restaurant in Cambridge that serves high Chinese food and is more expensive than it's competitors."
